Names,Subscribers,Views,Videos,id,Date
b'Seychelles Paradise Nature',16,1416,22,UCOj8oM5DEoLZusvPQADDu3Q,2019-12-31T15:10:44.452651Z
b'Jura Nature Environnement',4,156,2,UCCtVM4PsFXEBYy7s495v_WQ,2020-10-05T07:39:47.293857Z
"b""Nature's Beauty""",14,33971,11,UCn2JKRjtxJaXuKcEHTZigRA,2013-08-25T19:55:22Z
b'Do\xc4\x9fan\xc4\xb1n Sesleri - Sounds of Nature ASMR',11200,4374533,50,UCoTfU3LjklRhmuNs9Ok14Hw,2019-12-16T08:56:53.142184Z
b'Nature TV',1400,111762,40,UCshEvSod9yFZqsJX5QfTmBw,2017-06-12T17:55:21Z
b'loveing. nature',46,770,15,UC4U7nKQkJAlPcuXmYWSE-sw,2021-09-26T15:56:01.203093Z
b'Nature Good Mode',339,11627,86,UC4KdP7BuLdVHVsPX7DBdISg,2020-03-27T08:26:14.836628Z
b'Sawgrass Nature Center & Wildlife Hosptial',21,2744,20,UCwnOaKBI6ljy2PCJJ8guKBw,2011-09-29T18:03:30Z
b'M\xc3\xbdvatn Nature Baths',11,59706,18,UC7mIRuxu_jMD0j78kdl0v6g,2017-05-16T12:36:42Z
b'COCO-MAT Sleep On Nature',846,195338,121,UCcH5eJEDpT93MnqEEEqm5TA,2013-06-20T07:15:41Z
b'Journeys with Nature',15,2823,8,UC0yUtRR4ng5n_wihqCh9G-Q,2020-04-28T18:06:05.378477Z
b'Fall for Nature',290,34361,11,UCOBxc6ggYMwb-PCEgpvVBUA,2020-10-18T16:37:07.133044Z
"b""Nature's Noize""",0,26,3,UC2RkL2qbOgYecpvPt96jZfA,2021-10-31T22:44:05.931259Z
b'Niels Nature DIY et les permHAPPYculteurs',2710,596979,11,UC__vdgmZdA9GChyW3XLyWcw,2017-05-05T09:13:32Z
b'VIDEO VOYAGES ET NATURE',596,170989,75,UC60FUx9vO_T6_4_9ZvM8LSg,2020-09-02T14:50:40.157923Z
b'Museum of Nature South Tyrol',648,111073,109,UCocoShDJa84RKqOxudqFSpg,2015-04-07T13:53:45Z
b'\xd0\x9c\xd1\x8b \xd0\xb8 \xd0\xbf\xd1\x80\xd0\xb8\xd1\x80\xd0\xbe\xd0\xb4\xd0\xb0 We and nature',128000,27039405,173,UCDUo5jwMd6AGhijpLnzUQqg,2019-04-07T09:30:24Z
b'Hefner Museum of Natural History',46,2789,15,UC3HeZBJ68VvQsNsGTRgvGzw,2020-04-15T20:24:07.672784Z
b'Connecting Nature',301,10395,158,UCI24BLyUnvxq7aehGu-XMKw,2018-05-10T10:58:47Z
b'Victoria Restrepo Nature Documentaries',3640,347038,238,UCHCBAmCvv3zUqNodqkWhLQw,2012-04-29T04:03:59Z
b'Om Music Nature',2550,160115,82,UCunoxwRK_eOm4StuVTAGU0A,2016-11-18T04:06:13Z
b'Nature Is Bike',126,12185,4,UCBpuo5H2QQ-65Zbl4QCTpoQ,2020-01-03T15:37:44.482973Z
b'Nature\xe6\xa0\xaa\xe5\xbc\x8f\xe4\xbc\x9a\xe7\xa4\xbe',1270,1048449,37,UCH0gQEu57CI-0DzGEcHqsdQ,2017-11-14T03:41:08Z
b'Nature Connection',36200,9233641,171,UC5rat-_m2W8KLToCzAxccKw,2019-10-12T13:14:23.275968Z
b'Ripples Nature Inspired Aquariums',4490,90485,29,UCKZDLXjHs1QZbfGseiyxVGw,2015-08-27T10:36:33Z
b'VTT Nature',3650,2543169,197,UCRrYs5hLRqZO9PEgc5XpjQg,2011-02-08T12:35:08Z
b'CAMPUS M\xc3\xa9tiers Nature de Coutances',186,28264,47,UCT8XxO9xBooUB8bd-NlgbgA,2019-12-02T09:39:34.963948Z
b'Rebelle de Nature',17,4315,7,UCW9InsudNVhmv0xKeYpFMUw,2018-04-23T09:57:41Z
b'Nature Sons',434,53263,115,UC6oAn7av5JK0Ut-rDUIcBHA,2020-08-09T02:11:00.725566Z
b'Association of Nature and Forest Therapy',491,20302,9,UCE-q1cBI6E6s0mHo_FcvTiA,2019-06-10T23:14:00Z
b'Relax With Nature',109000,41480519,245,UC3Y7vndqnbIOQ_v2fftNB9Q,2008-01-29T22:21:05Z
b'Art et Nature Vid\xc3\xa9os',425,159779,171,UC3fOMq1xf3IVTzOOKRuxfvg,2016-09-20T15:47:55Z
b'Thailand Nature Sounds',370,65273,76,UCa00GC0bJl7RrNJfoXf2PZw,2020-07-11T15:42:07.006899Z
"b'EQUILIFORCE - nature, cuisine, bien-\xc3\xaatre'",2920,277076,418,UCr_-VrUmL85M6ceCQ6fbDjg,2018-04-19T10:59:58Z
b'The Natural History Channel',17900,898961,64,UC-kM2u8bHGLUDkKrmXW7syA,2007-11-21T00:31:04Z
b'nature sound / Zahnrad',695,153347,10,UCWwwlwzNGk9F5U6kJax2OpA,2017-06-08T00:10:27Z
b'Sound and Nature Suffolk',208,8045,12,UC2gzqiMGhDIirgh-rG4gJHA,2020-10-28T21:59:24.712949Z
b'Nature Belgium',1020,32337,134,UCpEXa6os4tbyFES_Xamx_mg,2016-05-22T21:33:45Z
b'Nature Vape',3790,831504,235,UCgnm9gfh8QPyXMga75StdDg,2014-01-19T18:36:45Z
